blockID,siteID,slope,aspect,comment
Alr1,Alrust,NA,NA,NA
Alr2,Alrust,NA,NA,NA
Alr3,Alrust,NA,NA,NA
Alr4,Alrust,NA,NA,NA
Alr5,Alrust,NA,NA,NA
Arh1,Arhelleren,10,10,NA
Arh2,Arhelleren,NA,NA,NA
Arh3,Arhelleren,NA,NA,NA
Arh4,Arhelleren,NA,NA,NA
Arh5,Arhelleren,NA,NA,NA
Fau1,Fauske,NA,NA,NA
Fau2,Fauske,NA,NA,NA
Fau3,Fauske,NA,NA,NA
Fau4,Fauske,NA,NA,NA
Fau5,Fauske,NA,NA,NA
Gud1,Gudmedalen,NA,NA,NA
Gud11,Gudmedalen,NA,NA,NA
Gud12,Gudmedalen,NA,NA,NA
Gud13,Gudmedalen,NA,NA,NA
Gud2,Gudmedalen,NA,NA,NA
Gud3,Gudmedalen,NA,NA,NA
Gud4,Gudmedalen,NA,NA,NA
Gud5,Gudmedalen,NA,NA,NA
Hog1,Hogsete,NA,NA,NA
Hog2,Hogsete,NA,NA,NA
Hog3,Hogsete,NA,NA,NA
Hog4,Hogsete,NA,NA,NA
Hog5,Hogsete,NA,NA,NA
Lav1,Lavisdalen,NA,NA,NA
Lav2,Lavisdalen,NA,NA,NA
Lav3,Lavisdalen,NA,NA,NA
Lav4,Lavisdalen,NA,NA,NA
Lav5,Lavisdalen,NA,NA,NA
Ovs1,Ovstedal,NA,NA,NA
Ovs2,Ovstedal,NA,NA,NA
Ovs3,Ovstedal,NA,NA,NA
Ovs4,Ovstedal,NA,NA,NA
Ovs5,Ovstedal,NA,NA,NA
Ram1,Rambera,NA,NA,NA
Ram2,Rambera,NA,NA,NA
Ram3,Rambera,NA,NA,NA
Ram4,Rambera,NA,NA,NA
Ram5,Rambera,NA,NA,NA
Ram6,Rambera,NA,NA,NA
Ram7,Rambera,NA,NA,NA
Ram8,Rambera,NA,NA,NA
Ram9,Rambera,NA,NA,NA
Skj1,Skjellingahaugen,NA,NA,NA
Skj11,Skjellingahaugen,NA,NA,NA
Skj12,Skjellingahaugen,NA,NA,NA
Skj2,Skjellingahaugen,NA,NA,NA
Skj3,Skjellingahaugen,NA,NA,NA
Skj4,Skjellingahaugen,NA,NA,NA
Skj5,Skjellingahaugen,NA,NA,NA
Ulv1,Ulvhaugen,NA,NA,NA
Ulv2,Ulvhaugen,NA,NA,NA
Ulv3,Ulvhaugen,NA,NA,NA
Ulv4,Ulvhaugen,NA,NA,NA
Ulv5,Ulvhaugen,NA,NA,NA
Ves1,Veskre,NA,NA,NA
Ves2,Veskre,NA,NA,NA
Ves3,Veskre,NA,NA,NA
Ves4,Veskre,NA,NA,NA
Ves5,Veskre,NA,NA,NA
Vik1,Vikesland,NA,NA,NA
Vik2,Vikesland,NA,NA,NA
Vik3,Vikesland,NA,NA,NA
Vik4,Vikesland,NA,NA,NA
Vik5,Vikesland,NA,NA,NA
