species,Norwegian name,Polyploid (2n),Flowering start,F-V<e5>r,F-Fso,F-Mso,F-Sso,F-H<f8>,Flowering finish,Min height,Max height,Lower,Nem,BNem,SBor,MBor,Nbor,LAlp,MAlp,HAlp,Upper,Habitat,grassland,forest,rocky,wetland,Soil type,Common-rear,Lids page,Mossberg page,comment
Ach.mil,Ryllik,3,MSo,NA,NA,1,1,1,H<f8>st,10,60,Nem,1,1,1,1,1,1,0.5,NA,LAlp (MAlp),Grassland,1,NA,NA,NA,not base-rich,Common,777,NA,NA
Aco.sep,Tyrihjelm,1,FSo,NA,1,1,NA,NA,MSo,100,200,BNem,NA,1,1,1,1,1,0.5,NA,LAlp (MAlp),Forest,NA,1,NA,NA,base-rich,Common,287,NA,New name?
Agr.cap,Engkvein,3,MSo,NA,NA,1,1,NA,SSo,20,80,Nem,1,1,1,1,1,0.5,NA,NA,NBor (LAlp),Forest,NA,1,NA,NA,not base-rich,Common,1047,NA,NA
Agr.mer,Fjellkvein,1,MSo,NA,NA,1,1,NA,SSo,10,30,MBor,NA,NA,NA,1,1,0.5,0.5,NA,NBor (MAlp),Grassland/Rocky ground,1,NA,1,NA,not base-rich,Common,1048,NA,NA
Aju.pyr,Jonsokkoll,1,V<e5>r,1,1,NA,NA,NA,FSo,5,25,Nem,1,1,1,1,0.5,0.5,NA,NA,MBor (NBor-LAlp),Grassland,1,NA,NA,NA,not base-rich,Common,658,NA,NA
Alc.alp,Fjellmarik<e5>pe,NA,MSo,NA,NA,1,1,NA,SSo,5,20,(Nem-SBor) MBor,0.5,0.5,0.5,1,1,1,1,NA,MAlp,Rocky ground,NA,NA,1,NA,not base-rich,Common,451,NA,Kromosom nr not known.
Alc.sp,Marik<e5>pe art,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,448,NA,NA
Ane.nem,Hvitveis,3,V<e5>r,1,NA,NA,NA,NA,V<e5>r,10,30,Nem,1,1,1,1,NA,NA,NA,NA,MBor,Forest,NA,1,NA,NA,not base-rich,Common,289,NA,NA
Ant.alp,Fjellkattefot,3,FSo,NA,1,1,1,NA,SSo,5,20,NBor,NA,NA,NA,NA,1,1,1,1,HAlp,Rocky ground,NA,NA,1,NA,not base-rich,Common,764,NA,"Female plant common, male plant scattered."
Ant.dio,Kattefot,1,FSo,NA,1,1,NA,NA,MSo,5,25,Nem,1,1,1,1,1,1,1,1,HAlp,Rocky ground,NA,NA,1,NA,not base-rich,Common,764,NA,NA
Ant.odo,Gulaks,1,V<e5>r,1,1,NA,NA,NA,FSo,10,50,Nem,1,1,1,1,0.5,NA,NA,NA,MBor (NBor),Grassland,1,NA,NA,NA,not base-rich,Common,1040,NA,NA
Arc.alp,Rypeb<e6>r,1,V<e5>r,1,NA,NA,NA,NA,V<e5>r,3,5,(Nem-MBor) NBor,0.5,0.5,0.5,0.5,1,1,1,NA,MAlp,Rocky ground,NA,NA,1,NA,indifferent,Common,603,NA,Sirkumpolar.
Ast.alp,Setermjelt,1,FSo,NA,1,1,NA,NA,MSo,8,20,(SBor-MBor) NBor,NA,NA,0.5,0.5,1,1,1,NA,MAlp,Rocky ground,NA,NA,1,NA,base-rich,Common,501,NA,NA
Ave.fle,Smyle,2,MSo,NA,NA,1,1,NA,SSo,20,70,Nem,1,1,1,1,1,1,1,0.5,MAlp (HAlp),Grassland,1,NA,NA,NA,not base-rich,Common,1059,NA,Spredd sirkumpolar og bipolar.
Ave.pra,Enghavre,2,FSo,NA,1,1,NA,NA,MSo,30,60,(Nem) BNem,0.5,1,1,0.5,0.5,NA,NA,NA,SBor (MBor-NBor),Grassland,1,NA,NA,NA,base-rich,Common,1062,NA,NA
Ave.pub,Dunhavre,2,FSo,NA,1,1,NA,NA,MSo,50,120,Nem,1,1,1,1,1,0.5,NA,NA,NBor (LAlp),Grassland,1,NA,NA,NA,base-rich,Common,1062,NA,NA
Bart.alp,Svarttopp,3,FSo,NA,1,1,NA,NA,MSo,10,30,MBor,NA,NA,NA,1,1,1,1,0.5,MAlp (HAlp),Rocky ground,NA,NA,1,NA,base-rich,Common,717,NA,"Amfi-atlantisk, arktisk."
Bet.nan,Dvergbj<f8>rk,1,V<e5>r,1,1,NA,NA,NA,FSo,10,100,(BNem) SBor,NA,NA,NA,NA,NA,1,0.5,NA,LAlp (MAlp),Rocky ground,NA,NA,1,NA,not base-rich,Common,184,NA,Sirkumpolar. To underarter i Norge.
Bet.pub,Bj<f8>rk,1,V<e5>r,1,1,NA,NA,NA,FSo,300,1500,Nem,1,1,1,1,0.5,NA,NA,NA,MBor (NBor),Forest,NA,1,NA,NA,not base-rich,Common,184,NA,NA
Bis.viv,Harerug,3,FSo,NA,1,1,NA,NA,MSo,5,30,(Nem) BNem,0.5,1,1,1,1,1,1,1,HAlp,Grassland,1,NA,NA,NA,base-rich,Common,209,NA,NA
Bot.lun,Marin<f8>kkel,1,FSo,NA,1,1,NA,NA,MSo,3,15,Nem,1,1,1,1,1,1,1,NA,MAlp,Grassland,1,NA,NA,NA,base-rich,Scattered,115,NA,Sirkumboreal/polar og bipolar.
Cal.vul,R<f8>sslyng,1,MSo,NA,NA,1,1,NA,SSo,10,50,Nem,1,1,1,1,1,1,NA,NA,LAlp,Grassland,1,NA,NA,NA,not base-rich,Common,605,NA,NA
Cam.rot,Bl<e5>klokke,3,FSo,NA,1,1,1,NA,SSo,10,50,Nem,1,1,1,1,1,1,1,0.5,MAlp (HAlp),Grassland,1,NA,NA,NA,not base-rich,Common,739,NA,"Sirkumboreal og-polar i flere raser/arter, trolig tre i Norge."
Cap.bur,Gjetertaske,2,V<e5>r,1,1,1,1,1,H<f8>st,5,40,Nem,1,1,1,1,1,0.5,NA,NA,NBor (LAlp),Grassland,1,NA,NA,NA,not base-rich,Common,359,NA,NA
Car.atr,Svartstarr,3,FSo,NA,1,1,NA,NA,MSo,20,60,(MBor) NBor,NA,NA,NA,0.5,1,1,1,0.5,MAlp (HAlp),Forest,NA,1,NA,NA,base-rich,Common,995,NA,"Sirkumpolar i flere raser, v<e5>r (ssp atarta) er amfi-atlantisk, arktisk."
Car.big,Stivstarr,2,FSo,NA,1,1,NA,NA,MSo,10,40,(MBor) NBor,NA,NA,NA,0.5,1,1,1,1,HAlp,Rocky ground,NA,NA,1,NA,not base-rich,Common,983,NA,ssp rigida. Amfi-atlantisk.
Car.cap,H<e5>rstarr,2,FSo,NA,1,1,NA,NA,MSo,5,25,(BNem) SBor,NA,0.5,1,1,1,1,1,NA,MAlp,Rocky ground,NA,NA,1,NA,not base-rich,Common,1015,NA,"Sirkumboreal og-polar i flere raser/arter, to i Norge."
Car.dio,S<e6>rbustarr,3,V<e5>r,1,1,1,NA,NA,MSo,10,30,Nem,1,1,1,1,1,1,NA,NA,LAlp,Wetland,NA,NA,NA,1,base-rich,Common,967,NA,NA
