turfID,TTtreat,RTtreat,GRtreat,originPlotID,destinationPlotID
1 TT2 28,TT2,NA,NA,1,28
10 TT1 7,TT1,NA,NA,10,7
100 TT4 522,TT4,NA,NA,100,522
101 TTC,TTC,NA,NA,101,101
102 TT3 524,TT3,NA,NA,102,524
103 TT2 128,TT2,NA,NA,103,128
104 TT1 102,TT1,NA,NA,104,102
105 TT4 540,TT4,NA,NA,105,540
106 TT4 220,TT4,NA,NA,106,220
107 TT2 133,TT2,NA,NA,107,133
108 TT3 208,TT3,NA,NA,108,208
109 TT1 106,TT1,NA,NA,109,106
11 TTC,TTC,NA,NA,11,11
110 TTC,TTC,NA,NA,110,110
111 TT2 137,TT2,NA,NA,111,137
112 TT3 199,TT3,NA,NA,112,199
113 TT1 111,TT1,NA,NA,113,111
114 TT4 224,TT4,NA,NA,114,224
115 TTC,TTC,NA,NA,115,115
116 TTC,TTC,NA,NA,116,116
117 TT3 530,TT3,NA,NA,117,530
118 TT4 230,TT4,NA,NA,118,230
119 TT2 143,TT2,NA,NA,119,143
12 TT3 98,TT3,NA,NA,12,98
120 TT1 118,TT1,NA,NA,120,118
121 TT3 192,TT3,NA,NA,121,192
122 TT1 125,TT1,NA,NA,122,125
123 TT2 150,TT2,NA,NA,123,150
124 TTC,TTC,NA,NA,124,124
125 TT4 233,TT4,NA,NA,125,233
126 TTC,TTC,NA,NA,126,126
13 TT1 14,TT1,NA,NA,13,14
131 TT1 135,TT1,NA,NA,131,135
133 TT3 219,TT3,NA,NA,133,219
134 TTC,TTC,NA,NA,134,134
135 TT1 129,TT1,NA,NA,-135,129
136 TT3 221,TT3,NA,NA,136,221
137 TT1 139,TT1,NA,NA,137,139
138 TT3 214,TT3,NA,NA,-138,214
14 TT2 39,TT2,NA,NA,14,39
140 TTC,TTC,NA,NA,140,140
141 TTC,TTC,NA,NA,141,141
142 TT1 144,TT1,NA,NA,142,144
143 TT1 149,TT1,NA,NA,-143,149
144 TT3 229,TT3,NA,NA,144,229
145 TT3 231,TT3,NA,NA,-145,231
146 TTC,TTC,NA,NA,146,146
15 TT4 112,TT4,NA,NA,15,112
154 TTC,NA,NA,TTC,154,154
156 TTC,NA,NA,TTC,156,156
16 TT2 42,TT2,NA,NA,16,42
162 TT2 200,TT2,NA,NA,162,200
165 TTC,NA,NA,TTC,165,165
166 TT3 241,TT3,NA,NA,166,241
167 TTC,TTC,NA,NA,167,167
168 TT4 284,TT4,NA,NA,168,284
169 TT1 170,TT1,NA,NA,169,170
17 TTC,TTC,NA,NA,17,17
170 TT2 195,TT2,NA,NA,170,195
18 TT1 19,TT1,NA,NA,18,19
19 TT3 83,TT3,NA,NA,19,83
191 TT2 227,TT2,NA,NA,191,227
192 TT4 299,TT4,NA,NA,192,299
193 TT1 191,TT1,NA,NA,193,191
194 TTC,TTC,NA,NA,194,194
195 TT3 276,TT3,NA,NA,195,276
196 TT3 282,TT3,NA,NA,196,282
197 TT2 215,TT2,NA,NA,197,215
198 TTC,TTC,NA,NA,198,198
199 TT4 308,TT4,NA,NA,199,308
2 TT4 103,TT4,NA,NA,2,103
20 TT4 119,TT4,NA,NA,20,119
200 TT1 196,TT1,NA,NA,200,196
203 TTC,TTC,NA,NA,203,203
204 TT4 290,TT4,NA,NA,204,290
206 TT3 546,TT3,NA,NA,206,546
208 TT2 541,TT2,NA,NA,208,541
209 TT1 210,TT1,NA,NA,209,210
21 TT4 123,TT4,NA,NA,21,123
211 TTC,TTC,NA,NA,211,211
214 TT3 304,TT3,NA,NA,214,304
215 TT1 212,TT1,NA,NA,215,212
216 TTC,TTC,NA,NA,216,216
219 TT3 287,TT3,NA,NA,219,287
22 TT3 90,TT3,NA,NA,22,90
220 TT1 218,TT1,NA,NA,220,218
221 TT3 292,TT3,NA,NA,221,292
222 TTC,TTC,NA,NA,222,222
224 TT1 223,TT1,NA,NA,224,223
226 TTC,TTC,NA,NA,226,226
227 TT3 296,TT3,NA,NA,227,296
229 TT1 228,TT1,NA,NA,229,228
23 TTC,TTC,NA,NA,23,23
231 TT1 232,TT1,NA,NA,231,232
232 TT3 306,TT3,NA,NA,232,306
234 TTC,TTC,NA,NA,234,234
236 TTC,TTC,NA,NA,236,236
237 TT2 279,TT2,NA,NA,237,279
238 TT1 237,TT1,NA,NA,238,237
24 TT2 49,TT2,NA,NA,24,49
241 TT1 242,TT1,NA,NA,241,242
242 TT2 268,TT2,NA,NA,242,268
243 TTC,TTC,NA,NA,243,243
246 TTC,NA,NA,TTC,246,246
25 TT1 21,TT1,NA,NA,25,21
251 TTC,NA,NA,TTC,251,251
257 TT2 283,TT2,NA,NA,257,283
258 TT1 257,TT1,NA,NA,258,257
26 TT2 53,TT2,NA,NA,26,53
260 TTC,TTC,NA,NA,260,260
261 TT2 303,TT2,NA,NA,261,303
262 TT1 265,TT1,NA,NA,262,265
263 TTC,TTC,NA,NA,263,263
266 TT2 289,TT2,NA,NA,266,289
267 TT1 548,TT1,NA,NA,267,548
27 TT3 104,TT3,NA,NA,27,104
270 TTC,TTC,NA,NA,270,270
271 TTC,TTC,NA,NA,271,271
272 TT1 275,TT1,NA,NA,272,275
273 TT2 295,TT2,NA,NA,273,295
276 TT1 278,TT1,NA,NA,276,278
277 TT2 551,TT2,NA,NA,277,551
28 TT1 30,TT1,NA,NA,28,30
280 TTC,TTC,NA,NA,280,280
281 TTC,TTC,NA,NA,281,281
284 TT1 285,TT1,NA,NA,284,285
285 TT2 310,TT2,NA,NA,285,310
286 TTC,TTC,NA,NA,286,286
287 TT1 288,TT1,NA,NA,287,288
