OriginSite;OriginBlock;originPlotID;TTtreat;destinationPlotID;turfID;RTtreat ;GRtreat;Old Treat;subPlot;year;date;Measure;recorder;Ach mil;Agr cap;Alc alp;Alc sp;Ant dio;Ant odo;Ave fle;Bet pub;Bis viv;Botrych ;Cam rot;Car cap;Car pal;Car pil;Cer alp;Cer fon;Des ces;Dianthus ;Epi ana;Euph sp;Fes ovi;Fes rub;Fes viv;Ger syl;Hie pil;Hie vulg;Hyp mac;Hypo mac;Kna arv;Leo aut;Leu vul;Lot cor;Luz mul;Luz pil;Nar stri;Oma syl;Par pal;Pim sax;Pimp  ;Pla lan;Pla maj;Pla med;Pla sp;Poa alp;Poa pra;Pot cra;Pot ere;Pru vul;Ran acr;Ran rep;Rhin min;Rum ace;Rum ac-la;Sag pro;Sag sag;Sag sp;Sal her;Sil aca;Sil vul;Sol vir;Ste gra;Tarax;Tha alp;Tri pra;Tri rep;Vac myr;Ver alp;Ver cha;Ver off;Ver serp;Vic fla;Vio bif;Vio pal;Vio riv;Vio tri;Vio sp;Visc vul;Nid seedling;pleuro;acro;liver;lichen;litter;soil;rock;totalVascular;totalBryophytes;totalLichen;vegetationHeight;mossHeight;comment
Alrust;1;26;TT2;53;26 TT2 53;;;C;1;2009;28-Jul;Presence;W;1;1;;;;;;;F;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;1;0;0;0;5;0;0;;;;;;
Alrust;1;26;TT2;53;26 TT2 53;;;C;2;2009;28-Jul;Presence;W;1;1;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;1;;;;;0;0;0;0;10;0;0;;;;;;
Alrust;1;26;TT2;53;26 TT2 53;;;C;3;2009;28-Jul;Presence;W;1;F;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;1;;;;;;;;;1;;;;;0;0;0;0;20;0;0;;;;;;
Alrust;1;26;TT2;53;26 TT2 53;;;C;4;2009;28-Jul;Presence;W;1;1;;;;;;;F;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;D;;;;;;;;;;1;;;;;0;0;0;0;10;0;0;;;;;;
Alrust;1;26;TT2;53;26 TT2 53;;;C;5;2009;28-Jul;Presence;W;1;F;;;;;;;1;;;;1;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;D;;;;;;;;;;;;;;;1;0;0;0;10;0;0;;;;;;
Alrust;1;26;TT2;53;26 TT2 53;;;C;6;2009;28-Jul;Presence;W;;1;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;0;0;0;0;20;0;0;;;;;;
Alrust;1;26;TT2;53;26 TT2 53;;;C;7;2009;28-Jul;Presence;W;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;1;;;;;1;;;;;0;0;0;0;10;0;0;;;;;;
Alrust;1;26;TT2;53;26 TT2 53;;;C;8;2009;28-Jul;Presence;W;;1;;;;;;;F;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;1;;;;1;0;0;0;0;5;0;0;;;;;;
Alrust;1;26;TT2;53;26 TT2 53;;;C;9;2009;28-Jul;Presence;W;;1;;;;;;;F;;;;;;;;;;;;;;;;D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;1;;;;1;0;0;0;0;10;0;0;;;;;;
Alrust;1;26;TT2;53;26 TT2 53;;;C;10;2009;28-Jul;Presence;W;;F;;;;;;;;;;;;;;;;;;;;;;;DF;;;;S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;1;0;0;0;5;0;0;;;;;;
Alrust;1;26;TT2;53;26 TT2 53;;;C;11;2009;28-Jul;Presence;W;;F;;;;;;;F;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;;;;;;;;1;;;F;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1;0;0;0;30;0;0;;;;;;
Alrust;1;26;TT2;53;26 TT2 53;;;C;12;2009;28-Jul;Presence;W;;1;;;;;;;1;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;0;0;0;0;30;0;0;;;;;;
Alrust;1;26;TT2;53;26 TT2 53;;;C;13;2009;28-Jul;Presence;W;1;1;;;;;;;1;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;1;;;;;0;0;0;0;30;0;0;;;;;;
Alrust;1;26;TT2;53;26 TT2 53;;;C;14;2009;28-Jul;Presence;W;;1;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;D;;;;;;;;;;;;;;;0;0;0;0;20;0;0;;;;;;
Alrust;1;26;TT2;53;26 TT2 53;;;C;15;2009;28-Jul;Presence;W;1;;;;;;;;F;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;0;0;0;0;20;0;0;;;;;;
Alrust;1;26;TT2;53;26 TT2 53;;;C;16;2009;28-Jul;Presence;W;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1;0;0;0;30;0;0;;;;;;
Alrust;1;26;TT2;53;26 TT2 53;;;C;17;2009;28-Jul;Presence;W;;1;;;;;;;DF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;1;;;;;0;0;0;0;30;0;0;;;;;;
Alrust;1;26;TT2;53;26 TT2 53;;;C;18;2009;28-Jul;Presence;W;;1;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;1;;;;;0;0;0;0;40;0;0;;;;;;
Alrust;1;26;TT2;53;26 TT2 53;;;C;19;2009;28-Jul;Presence;W;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;F;1;;;;;;;;;;;;;;0;0;0;0;20;0;0;;;;;;
Alrust;1;26;TT2;53;26 TT2 53;;;C;20;2009;28-Jul;Presence;W;1;1;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;S;0;0;0;0;20;0;0;;;;;;
Alrust;1;26;TT2;53;26 TT2 53;;;C;21;2009;28-Jul;Presence;W;;1;;;;;;;;;1;;;;;;;;;;;;;;1;;;;;;;F;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;20;0;0;;;;;;
Alrust;1;26;TT2;53;26 TT2 53;;;C;22;2009;28-Jul;Presence;W;;1;;;;;;;DF;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;0;0;0;0;10;0;0;;;;;;
Alrust;1;26;TT2;53;26 TT2 53;;;C;23;2009;28-Jul;Presence;W;;1;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1;0;1;0;0;40;0;0;;;;;;
Alrust;1;26;TT2;53;26 TT2 53;;;C;24;2009;28-Jul;Presence;W;1;1;;;;;;;F;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;0;0;0;0;40;0;0;;;;;;
Alrust;1;26;TT2;53;26 TT2 53;;;C;25;2009;28-Jul;Presence;W;1;F;;;;;;;;;;;;;;;;;;;;;;;D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;0;0;0;0;10;0;0;;;;;;
Alrust;1;26;TT2;53;26 TT2 53;;;C;%;2009;28-Jul;Cover;W;3;19;;;;;;;20;;1;;1;;;;;;;;;1;;;20;;;;1;;;1;;;;;;;;;;;;1;;;2;3;;;1;;;;;;;;;;;;;15;15;;;;1;;;;;8;;;;1;0.2;0.04;0;0;19.8;0;0;;2;0;3.5;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alrust;1;27;TT3;104;27 TT3 104;;;1;1;2009;27-Jul;Presence;W;;F;;;;;;;F;;;;;;;;;;;S;;;;;1;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;1;;;;;0;0;0;0;5;0;0;;;;;;
Alrust;1;27;TT3;104;27 TT3 104;;;1;2;2009;27-Jul;Presence;W;;1;;;;;;;F;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;0;0;0;0;5;0;0;;;;;;
Alrust;1;27;TT3;104;27 TT3 104;;;1;3;2009;27-Jul;Presence;W;;1;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;0;0;0;0;5;0;0;;;;;;
Alrust;1;27;TT3;104;27 TT3 104;;;1;4;2009;27-Jul;Presence;W;;F;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;F;;;;;;;;;;;;;;F;;;;;;;;;1;;;;;0;0;0;0;5;0;0;;;;;;
Alrust;1;27;TT3;104;27 TT3 104;;;1;5;2009;27-Jul;Presence;W;1;1;;;;;;;1;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;0;0;0;0;10;0;0;;;;;;
Alrust;1;27;TT3;104;27 TT3 104;;;1;6;2009;27-Jul;Presence;W;;1;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;F;;;;;;;;;;;;;;1;;;;;;;;;;;;;;0;0;0;0;15;0;0;;;;;;
Alrust;1;27;TT3;104;27 TT3 104;;;1;7;2009;27-Jul;Presence;W;;1;;;;;;;D;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;F;;;;;;;;;;;;;;1;;;;;;;;;;;;;;0;0;0;0;5;0;0;;;;;;
Alrust;1;27;TT3;104;27 TT3 104;;;1;8;2009;27-Jul;Presence;W;;1;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;S;;;;;;;;;;;;;1;;;;;;;;;1;;;;;0;0;0;0;5;0;0;;;;;;
Alrust;1;27;TT3;104;27 TT3 104;;;1;9;2009;27-Jul;Presence;W;;1;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;F;;;;;;;;;1;;;;;0;0;0;0;5;0;0;;;;;;
Alrust;1;27;TT3;104;27 TT3 104;;;1;10;2009;27-Jul;Presence;W;1;1;1;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1;1;;;;;;;;;1;;;;;0;0;0;0;5;0;0;;;;;;
Alrust;1;27;TT3;104;27 TT3 104;;;1;11;2009;27-Jul;Presence;W;1;F;;;;;;;F;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;1;;;1;;;;F;;;;;;;;;;;;;;1;;;;;;;;;1;;;;;0;0;0;0;10;0;0;;;;;;
Alrust;1;27;TT3;104;27 TT3 104;;;1;12;2009;27-Jul;Presence;W;;1;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;F;;1;;;;;;;;;;;;;;;;1;;;;;;;;;F;;;;;0;0;0;0;15;0;0;;;;;;
Alrust;1;27;TT3;104;27 TT3 104;;;1;13;2009;27-Jul;Presence;W;1;1;;;;;;;1;;;;;;;;1;;;;;1;;;1;;;;;;;1;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;1;;;;;0;0;0;0;20;0;0;;;;;;
Alrust;1;27;TT3;104;27 TT3 104;;;1;14;2009;27-Jul;Presence;W;1;1;;;;;;;1;;;;;;;;1;;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;S;;;;;;;;;;;;;;;;;1;;;;;;;;;1;;;;;0;0;0;0;15;0;0;;;;;;
Alrust;1;27;TT3;104;27 TT3 104;;;1;15;2009;27-Jul;Presence;W;1;;1;;;;;;F;;;;;;;;;;;;;;;;D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;1;;;;;0;0;0;0;10;0;0;;;;;;
Alrust;1;27;TT3;104;27 TT3 104;;;1;16;2009;27-Jul;Presence;W;1;1;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;20;0;0;;;;;;
Alrust;1;27;TT3;104;27 TT3 104;;;1;17;2009;27-Jul;Presence;W;1;F;;;;;;;F;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;F;;S;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;0;0;0;0;10;0;0;;;;;;
Alrust;1;27;TT3;104;27 TT3 104;;;1;18;2009;27-Jul;Presence;W;;1;;;;;;;D;;;;;;;;;;;;;1;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1;0;0;0;10;0;0;;;;;;
Alrust;1;27;TT3;104;27 TT3 104;;;1;19;2009;27-Jul;Presence;W;1;1;;;;;;;;;;;1;;;;;;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;F;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;0;0;0;0;5;0;0;;;;;;
Alrust;1;27;TT3;104;27 TT3 104;;;1;20;2009;27-Jul;Presence;W;1;1;;;;;;;F;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;0;0;0;0;5;0;0;;;;;;
Alrust;1;27;TT3;104;27 TT3 104;;;1;21;2009;27-Jul;Presence;W;1;1;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;S;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;25;0;0;;;;;;
Alrust;1;27;TT3;104;27 TT3 104;;;1;22;2009;27-Jul;Presence;W;;1;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;0;0;0;0;25;0;0;;;;;;
Alrust;1;27;TT3;104;27 TT3 104;;;1;23;2009;27-Jul;Presence;W;;1;;;;;;;1;;;;1;;;;;;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;1;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;5;0;0;;;;;;
Alrust;1;27;TT3;104;27 TT3 104;;;1;24;2009;27-Jul;Presence;W;1;1;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1;;;;;;;;;;;;;;;0;0;0;0;5;0;0;;;;;;
Alrust;1;27;TT3;104;27 TT3 104;;;1;25;2009;27-Jul;Presence;W;;1;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1;0;0;0;10;0;0;;;;;;
