OriginSite,OriginBlock,Start Block korrigert,originPlotID,TTtreat,destinationPlotID,turfID,RTtreat ,GRtreat,RT treat,Old treat (label),subPlot,year,date,Measure,recorder,Ach mil,Aco sep,Agr cap,Agr mer,Alc alp,Alc sp,Ant alp,Ant dio,Ant odo,Ast alp,Ave fle,Bet nan,Bet pub,Bis viv,Cal vul,Cam rot,Car big,Car cap,Car nor,Car pal,Car pau,Car pil,Car sp,Car vag,Cer alp,Cer fon,Des ces,Emp,Emp her,Epi ana,Euph fri,Fes ovi,Fes rub,Fes viv,Gen ama,Gen niv,Gen ten,Ger syl,Geu riv,Hie alp,Hie pil,Hir vul,Jun com,Kob sim,Luz sp,Luz spi,Leo aut,Lot cor,Luz mul,Myos,Nar stri,Oma sup,Par pal,Phl alp,Phle alp,Pin vul,Poa alp,Poa pra,Poa sp,Pot cra,Pot ere,Pru vul,Pyr min,Rum ac-la,Ran acr,Rhi min,Rum ace,Sag sp,Sal her,Salix sp,Saus alp,Sax aiz,Sel sel,Sib pro,Sil aca,Sol vir,Tarax,Tha alp,Tof pus,Tri ces,Tri rep,Vac myr,Vac uli,Vac vit,Ver alp,Ver fru,Ver ser,Vio bif,Vio pal,Vio riv,Nid seedling,Nid gram,pleuro,acro,liver,lichen,litter,soil,rock,totalVascular,totalBryophytes,totalLichen,vegetationHeight,mossHeight,comment
Gudmedalen,11,IV/X,505,TTC,505,505 TTC,,,RTC,RTC,1,2009,13-Aug,Presence,KK,,,,,,,,1,,,,,,1,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,F,,,,,,,1,,1,,,1,,,,,,,1,,,,,,1,,2,0,0,0,10,0,0,,,,,,
Gudmedalen,11,IV/X,505,TTC,505,505 TTC,,,RTC,RTC,2,2009,13-Aug,Presence,KK,,,,,,,,1,,,,,,1,,1,,,,,,,,1,,,1,,1,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,5,0,0,0,20,0,0,,,,,,
Gudmedalen,11,IV/X,505,TTC,505,505 TTC,,,RTC,RTC,3,2009,13-Aug,Presence,KK,,,,,,,,,,,,,,1,,1,,F,,,,,,,,,D,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,0,1,0,0,10,0,0,,,,,,
Gudmedalen,11,IV/X,505,TTC,505,505 TTC,,,RTC,RTC,4,2009,13-Aug,Presence,KK,,,1,,,,,,,,,,,,,,,F,,,,,,,,,1,,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0,1,0,0,5,0,0,,,,,,
Gudmedalen,11,IV/X,505,TTC,505,505 TTC,,,RTC,RTC,5,2009,13-Aug,Presence,KK,,,,,,,,,,1,,,,1,,1,,F,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,10,0,2,0,5,0,0,,,,,,
Gudmedalen,11,IV/X,505,TTC,505,505 TTC,,,RTC,RTC,6,2009,13-Aug,Presence,KK,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,1,,,1,,,,,,,,,,,,,,,0,5,0,0,10,0,0,,,,,,
Gudmedalen,11,IV/X,505,TTC,505,505 TTC,,,RTC,RTC,7,2009,13-Aug,Presence,KK,,,,,,,,1,,,,,,1,,1,,F,,,,,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,1,,,1,,,,,,,,,,,,,,,0,0,0,0,20,0,0,,,,,,
Gudmedalen,11,IV/X,505,TTC,505,505 TTC,,,RTC,RTC,8,2009,13-Aug,Presence,KK,,,,,,,,1,,1,,,,1,,1,,F,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0,0,0,0,20,0,0,,,,,,
Gudmedalen,11,IV/X,505,TTC,505,505 TTC,,,RTC,RTC,9,2009,13-Aug,Presence,KK,1,,,,,,,1,,1,,,,,,1,,1,,,,,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,10,0,0,10,0,0,,,,,,
Gudmedalen,11,IV/X,505,TTC,505,505 TTC,,,RTC,RTC,10,2009,13-Aug,Presence,KK,1,,,,,,,1,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,5,20,0,0,20,0,0,,,,,,
