OriginSite,OriginBlock,originPlotID,TTtreat,destinationPlotID,turfID,RTtreat ,GRtreat,Old label (Treat),subPlot,year,date,Measure,recorder,Ach mil,Agr cap,Alc alp,Alc alp,Alc sp,Ant dio,Ant odo,Ave fle,Bis viv,Cam rot,Car Cap,Car lep,Car pal,Car pil ,Car vag,Cer alp,Cer fon,Des ces,Des fle,Epi ana,Fes ovi,Fes ovi,Fes rub,Fes viv,Gal sax,Gal uli,Hie pil,Hyp mac,Leo aut,Luz mul,Nar stri,Par pal,Phle alp,Poa alp,Poa pra,Pot cra,Pot ere,Rum ac-la,Ran acr,Rum ace,Sal her,Sil aca,Sol vir,Ste gra ,Tarax,Tha alp,Tri pra,Tri pra,Tri rep,Vac myr,Ver alp,Ver cha ,Ver off,Vio bif,Vio pal,Vio riv,Vio tri,Nid seedling,pleuro,acro,liver,lichen,litter,soil,rock,totalVascular,totalBryophytes,totalLichen,vegetationHeight,mossHeight,comment
Hogsete,1,101,TTC,101,101 TTC ,,,C,1,2009,31-Jul,Presence,KK,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,F,1,,,,,,70,0,0,0,5,0,0,,,,,,
Hogsete,1,101,TTC,101,101 TTC ,,,C,2,2009,31-Jul,Presence,KK,1,1,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,10,0,0,0,20,0,0,,,,,,
Hogsete,1,101,TTC,101,101 TTC ,,,C,3,2009,31-Jul,Presence,KK,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,30,0,0,0,10,0,0,,,,,,
Hogsete,1,101,TTC,101,101 TTC ,,,C,4,2009,31-Jul,Presence,KK,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,F,,,,,,15,0,0,0,10,0,0,,,,,,
Hogsete,1,101,TTC,101,101 TTC ,,,C,5,2009,31-Jul,Presence,KK,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,40,0,0,0,5,0,0,,,,,,
Hogsete,1,101,TTC,101,101 TTC ,,,C,6,2009,31-Jul,Presence,KK,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,60,0,0,0,2,0,0,,,,,,
Hogsete,1,101,TTC,101,101 TTC ,,,C,7,2009,31-Jul,Presence,KK,1,1,,,,,1,,,,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,10,0,0,0,10,0,0,,,,,,
Hogsete,1,101,TTC,101,101 TTC ,,,C,8,2009,31-Jul,Presence,KK,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,1,,1,1,,,40,0,0,0,5,0,0,,,,,,
Hogsete,1,101,TTC,101,101 TTC ,,,C,9,2009,31-Jul,Presence,KK,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,30,0,0,0,10,0,0,,,,,,
Hogsete,1,101,TTC,101,101 TTC ,,,C,10,2009,31-Jul,Presence,KK,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,60,0,0,0,5,0,0,,,,,,
