OriginSite,OriginBlock,originPlotID,TTtreat,destinationPlotID,turfID,RTtreat ,GRtreat,Old Treat,subPlot,year,date,Measure,recorder,Ach mil,Agr cap,Alc sp,Ant odo,Ave fle,Cam rot,Car lep,Car nigra,Car pal,Car pil,Cer fon,Des ces,Euph str,Fes rub,Gram sp,Hie pil,Hyp mac,Kna arv,Leo aut,Leu vul,Lot cor,Luz mul,Luz pil,Nar str,Oma syl,Pim sax,Pla lan,Poa pra,Pot ere,Pru vul,Ran acr,Ran rep,Rum ace,Rum ac-la,Sol vir,Sorbus,Ste gra,Suc pra,Tarax,Tri pra,Tri rep,Ver cha,Ver off,Vio pal,Vio riv,Vio tri,Nid seedling,pleuro,acro,liver,lichen,litter,soil,rock,totalVascular,totalBryophytes,totalLichen,vegetationHeight,mossHeight,comment
Ovstedal,1,286,TTC,286,286 TTC,,,C,1,2009,26-Aug,Presence,KK,,1,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,40,0,0,0,5,0,0,,,,,,
Ovstedal,1,286,TTC,286,286 TTC,,,C,2,2009,26-Aug,Presence,KK,,1,,1,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,20,0,0,0,5,0,0,,,,,,
Ovstedal,1,286,TTC,286,286 TTC,,,C,3,2009,26-Aug,Presence,KK,,1,,1,,S,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,0,0,0,10,0,0,,,,,,
Ovstedal,1,286,TTC,286,286 TTC,,,C,4,2009,26-Aug,Presence,KK,,F,,1,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,1,,,,,1,,,,,10,0,0,0,5,0,0,,,,,,
Ovstedal,1,286,TTC,286,286 TTC,,,C,5,2009,26-Aug,Presence,KK,,1,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,10,0,0,0,2,0,0,,,,,,
Ovstedal,1,286,TTC,286,286 TTC,,,C,6,2009,26-Aug,Presence,KK,,1,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,10,0,0,0,10,0,0,,,,,,
Ovstedal,1,286,TTC,286,286 TTC,,,C,7,2009,26-Aug,Presence,KK,,1,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,10,0,0,0,5,0,0,,,,,,
Ovstedal,1,286,TTC,286,286 TTC,,,C,8,2009,26-Aug,Presence,KK,,F,,,,F,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,5,0,0,0,2,0,0,,,,,,
Ovstedal,1,286,TTC,286,286 TTC,,,C,9,2009,26-Aug,Presence,KK,,1,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,20,0,0,0,5,0,0,,,,,,
Ovstedal,1,286,TTC,286,286 TTC,,,C,10,2009,26-Aug,Presence,KK,,,,1,,S,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,0,0,2,0,0,,,,,,
Ovstedal,1,286,TTC,286,286 TTC,,,C,11,2009,26-Aug,Presence,KK,,1,,1,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,0,0,2,0,0,,,,,,
Ovstedal,1,286,TTC,286,286 TTC,,,C,12,2009,26-Aug,Presence,KK,,1,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,0,0,5,0,0,,,,,,
Ovstedal,1,286,TTC,286,286 TTC,,,C,13,2009,26-Aug,Presence,KK,,F,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,20,0,0,0,5,0,0,,,,,,
Ovstedal,1,286,TTC,286,286 TTC,,,C,14,2009,26-Aug,Presence,KK,,1,,1,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,0,0,5,0,0,,,,,,
Ovstedal,1,286,TTC,286,286 TTC,,,C,15,2009,26-Aug,Presence,KK,,1,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,0,0,5,0,0,,,,,,
Ovstedal,1,286,TTC,286,286 TTC,,,C,16,2009,26-Aug,Presence,KK,,1,,,,F,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,5,0,0,0,2,0,0,,,,,,
Ovstedal,1,286,TTC,286,286 TTC,,,C,17,2009,26-Aug,Presence,KK,,1,,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,0,0,0,2,0,0,,,,,,
Ovstedal,1,286,TTC,286,286 TTC,,,C,18,2009,26-Aug,Presence,KK,,1,,,,,F,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,2,0,0,0,5,0,0,,,,,,
Ovstedal,1,286,TTC,286,286 TTC,,,C,19,2009,26-Aug,Presence,KK,,1,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,5,0,0,0,2,0,0,,,,,,
Ovstedal,1,286,TTC,286,286 TTC,,,C,20,2009,26-Aug,Presence,KK,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,10,0,0,0,2,0,0,,,,,,
Ovstedal,1,286,TTC,286,286 TTC,,,C,21,2009,26-Aug,Presence,KK,,1,,1,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,0,0,0,5,0,0,,,,,,
Ovstedal,1,286,TTC,286,286 TTC,,,C,22,2009,26-Aug,Presence,KK,,1,,,,,F,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,0,0,10,0,0,,,,11,2,
Ovstedal,1,286,TTC,286,286 TTC,,,C,23,2009,26-Aug,Presence,KK,,F,,,,,F,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,0,10,0,0,,,,8,3,
Ovstedal,1,286,TTC,286,286 TTC,,,C,24,2009,26-Aug,Presence,KK,,,,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,0,0,2,0,0,,,,9,2,
Ovstedal,1,286,TTC,286,286 TTC,,,C,25,2009,26-Aug,Presence,KK,,F,,,,,F,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,0,0,2,0,0,,,,5,3,
Ovstedal,1,286,TTC,286,286 TTC,,,C,%,2009,26-Aug,Cover,KK,,10,,10,,3,7,,,,,,,,,50,,,,,,,,,,,,,1,,,,,4,,,,5,,,,,6,,,,,9,0,0,0,4.6,0,0,70,9,0,8.25,2.5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ovstedal,1,287,TT1,288,287 TT1 288,,,1,1,2009,26-Aug,Presence,KK,,1,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,2,0,0,0,10,0,0,,,,,,
Ovstedal,1,287,TT1,288,287 TT1 288,,,1,2,2009,26-Aug,Presence,KK,,1,,1,,1,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,5,2,0,0,10,0,0,,,,,,
Ovstedal,1,287,TT1,288,287 TT1 288,,,1,3,2009,26-Aug,Presence,KK,,1,,,,1,F,,,,,,,,,F,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,10,0,0,0,2,0,0,,,,,,
Ovstedal,1,287,TT1,288,287 TT1 288,,,1,4,2009,26-Aug,Presence,KK,,1,,,,1,1,,,,,,,,,F,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,5,0,0,0,10,0,0,,,,,,
Ovstedal,1,287,TT1,288,287 TT1 288,,,1,5,2009,26-Aug,Presence,KK,,,,,,F,F,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,5,0,0,0,20,0,0,,,,,,
Ovstedal,1,287,TT1,288,287 TT1 288,,,1,6,2009,26-Aug,Presence,KK,,1,,1,,1,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,10,0,0,0,5,0,0,,,,,,
Ovstedal,1,287,TT1,288,287 TT1 288,,,1,7,2009,26-Aug,Presence,KK,,1,,F,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,0,0,2,0,0,,,,,,
