OriginSite,OriginBlock,Start Block (KORRIGERT),originPlotID,TTtreat,destinationPlotID,turfID,RTtreat ,GRtreat,Old treat (label),subPlot,year,date,Measure,recorder,Ach mil,Agr cap,Alc alp,Alc sp,Ant dio,Ant odo,Ave fle,Bet nan,Bet pub,Bis viv,Cal vul,Cam rot,Car  nor,Car big,Car cap,Car fla,Car nigra,Car pal,Car pil,Carex sp,Cer alp,Cer cer,Cer fon,Cirs pal ,Des ces,Emp her,Epi ana,Euph sp,Fes ovi,Fes rub,Fes viv,Gal uli ,Gym dry,Hie pil,Leo aut,Luz mul,Luz spi,"Mots II (Epi, Ste med, Ver alp)",Nar stri,Oma sup,Oxa ace,Par pal,Phle alp,Pin vul,Poa alp,Poa pra,Pot cra,Pot ere,Pru vul ,Ran acr,Ran rep,Rum ace,Rum ac-la,Sag pro,Sag sag,Sag sp,Sal her,Sel sel,Sib,Sil aca,Sol vir,Tarax,Tha alp,Tof pus,Tri rep,Vac myr,Vac vit,Ver alp,Ver fru,Ver off,Ver serp,Vio bif,Vio pal,Vio riv,Vio sp,Nid gram,Nid seedling,pleuro,acro,liver,lichen,litter,soil,rock,totalVascular,totalBryophytes,totalLichen,vegetationHeight,mossHeight,comment
Rambera,4,,191,TT2,227,191 TT2 227,,,C,1,2009,17-Aug,Presence,KK,,,,,,1,,,,,,,,,,,,,1,,,,,,1,,,S,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,2,0,0,0,10,0,0,,,,,,
Rambera,4,,191,TT2,227,191 TT2 227,,,C,2,2009,17-Aug,Presence,KK,,1,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,F,,,,1,,,,,,,,,,,,,,,,,,1,,,1,,,,,2,2,0,0,10,0,0,,,,,,
Rambera,4,,191,TT2,227,191 TT2 227,,,C,3,2009,17-Aug,Presence,KK,1,1,,,,,,,,1,,,,,,,,,,,,,,,1,,,SF,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,1,,,,,10,0,0,0,10,0,0,,,,,,
Rambera,4,,191,TT2,227,191 TT2 227,,,C,4,2009,17-Aug,Presence,KK,,1,,,,1,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,30,5,0,0,5,0,0,,,,,,
Rambera,4,,191,TT2,227,191 TT2 227,,,C,5,2009,17-Aug,Presence,KK,1,1,,,,1,,,,1,,,,,,,,,,,,,,,1,,,S,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,30,2,0,0,5,0,0,,,,,,
Rambera,4,,191,TT2,227,191 TT2 227,,,C,6,2009,17-Aug,Presence,KK,,,,,,1,,,,1,,,,,,,,,1,,,,,,1,,,SF,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,5,2,0,0,10,0,0,,,,,,
Rambera,4,,191,TT2,227,191 TT2 227,,,C,7,2009,17-Aug,Presence,KK,,1,,,,1,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,10,5,0,0,5,0,0,,,,,,
Rambera,4,,191,TT2,227,191 TT2 227,,,C,8,2009,17-Aug,Presence,KK,1,1,,,,1,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,10,2,0,0,2,0,0,,,,,,
Rambera,4,,191,TT2,227,191 TT2 227,,,C,9,2009,17-Aug,Presence,KK,,,,,,1,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,20,0,0,0,5,0,0,,,,,,
Rambera,4,,191,TT2,227,191 TT2 227,,,C,10,2009,17-Aug,Presence,KK,1,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,10,2,0,0,5,0,0,,,,,,
