OriginSite,OriginBlock,originPlotID,TTtreat,destinationPlotID,turfID,RTtreat ,GRtreat,Old Treat,subPlot,year,date,Measure,recorder,Ach mil,Agr cap,Agr mer,Alc alp,Alc sp,Ant dio,Ant odo,Ave fle,Bis viv,Bot lun,Cam rot,Car big,Car Cap,Car fla,Car nor,Car pil,Car vag,Cer alp,Cer fon ,Des ces,Emp her,Epi ana,Eup str,Fes ovi,Fes rub,Fes viv,Gen niv,Gram sp,Hie pil,Hie vul,Jun com,Kob sim,Leo aut,Lot cor,Luz mul ,Nar stri,Oma sup,Par pal,Par pal,Phle alp,Pin vul,Pin vul,Poa alp,Poa pra,Pot cra,Pot ere,Pyr min,Pyr nor,Rum ac-la,Ran acr,Rum ace,Sag,Sal her,Saus alp,Sax aiz ,Sel sel,Sib,Sil aca,Sol vir,Tarax,Tha alp,Tri rep,Vac myr,Ver alp,Ver fru,Ver off,Vio bif,Vio pal,Nid seedling,pleuro,acro,liver,lichen,litter,soil,rock,totalVascular,totalBryophytes,totalLichen,vegetationHeight,mossHeight,comment
Skjellingahaugen,1,1900,,1900,Skj1RTC,RTC,,RTC,1,2009,15-Aug,Presence,W,,,,,S,,,,1,,1,,,,,,,,,,,,S,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,,F,,,,1,,,,,,,,,5,0,0,0,5,0,0,,,,,,
Skjellingahaugen,1,1900,,1900,Skj1RTC,RTC,,RTC,2,2009,15-Aug,Presence,W,,,,,,,,,,,,,F,,,,,,,,,,S,,,,,,,,,,,,,D,,,,,,,,,1,,,,,,,,,,F,,1,,,,1,,,,,,,,,3,0,0,0,10,0,0,,,,,,
Skjellingahaugen,1,1900,,1900,Skj1RTC,RTC,,RTC,3,2009,15-Aug,Presence,W,,1,,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,1,,,,,,,,,,F,,1,,,,1,,,,,,,,,0,0,0,0,10,0,0,,,,,,
Skjellingahaugen,1,1900,,1900,Skj1RTC,RTC,,RTC,4,2009,15-Aug,Presence,W,,,,S,,,,,,,,,,,,,,,,,,,S,,,,S,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,F,,,1,,,1,,,,,,,,,2,0,0,0,5,10,0,,,,,,
Skjellingahaugen,1,1900,,1900,Skj1RTC,RTC,,RTC,5,2009,15-Aug,Presence,W,,1,,,,,,,1,,,,1,,,,,,,,,,SF,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,F,,,F,,,,,,10,0,0,0,5,10,0,,,,,,
Skjellingahaugen,1,1900,,1900,Skj1RTC,RTC,,RTC,6,2009,15-Aug,Presence,W,,1,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,1,,1,,,,,,,,,,1,,,,,,,,,,1,,1,,,,1,,,1,1,,,,,10,0,0,0,5,0,0,,,,,,
Skjellingahaugen,1,1900,,1900,Skj1RTC,RTC,,RTC,7,2009,15-Aug,Presence,W,,1,,,,,,,1,,,,1,,,,,,,1,,,,,,,,,,,,,1,,,1,,,,,,,,,1,,,,,,,,,,F,,,,,,1,,,,,,,,,5,0,0,0,5,0,0,,,,,,
Skjellingahaugen,1,1900,,1900,Skj1RTC,RTC,,RTC,8,2009,15-Aug,Presence,W,,,,,,,1,,1,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,,,,,,,,5,0,0,0,5,30,0,,,,,,
Skjellingahaugen,1,1900,,1900,Skj1RTC,RTC,,RTC,9,2009,15-Aug,Presence,W,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,,,,,,,,8,0,0,0,1,35,0,,,,,,
Skjellingahaugen,1,1900,,1900,Skj1RTC,RTC,,RTC,10,2009,15-Aug,Presence,W,,1,,S,,,,,1,,,,F,,,,,,,,,,SF,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,1,,,,F,,,,,,,,1,5,0,0,0,5,15,0,,,,,,
Skjellingahaugen,1,1900,,1900,Skj1RTC,RTC,,RTC,11,2009,15-Aug,Presence,W,,,,,,,,,1,,,,,,,,,,S,,,,S,,,,,,,,,,,,,F,,,F,,,,,,1,,,,,,,,,,,,1,1,,,,,,,1,,,,1,10,0,0,0,2,3,0,,,,,,
Skjellingahaugen,1,1900,,1900,Skj1RTC,RTC,,RTC,12,2009,15-Aug,Presence,W,,1,,,,,1,,1,,1,,S,,,,,,,,,,SF,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,1,,,,1,,,,,,,,,15,0,0,0,2,3,0,,,,,,
Skjellingahaugen,1,1900,,1900,Skj1RTC,RTC,,RTC,13,2009,15-Aug,Presence,W,,1,,,,,,F,1,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,1,,2,0,0,0,5,30,0,,,,,,
Skjellingahaugen,1,1900,,1900,Skj1RTC,RTC,,RTC,14,2009,15-Aug,Presence,W,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,F,,,,,,,,,15,0,0,0,5,1,0,,,,,,
Skjellingahaugen,1,1900,,1900,Skj1RTC,RTC,,RTC,15,2009,15-Aug,Presence,W,,,,,S,,,,F,,,,F,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,1,,1,,,1,1,,,,,,,,,15,0,0,0,5,5,0,,,,,,
Skjellingahaugen,1,1900,,1900,Skj1RTC,RTC,,RTC,16,2009,15-Aug,Presence,W,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,1,,,,,,,,1,,,,1,DF,,,,,,,,,,,,1,0,0,0,1,0,0,,,,,,
Skjellingahaugen,1,1900,,1900,Skj1RTC,RTC,,RTC,17,2009,15-Aug,Presence,W,,1,,,S,,,,1,,,,1,,,,,,,,,,S,,,,F,,,,,,,,,D,,,,,,,1,,1,,,,,,,,,,,,1,,,,1,,,,,,,1,,35,0,0,0,10,2,0,,,,,,
Skjellingahaugen,1,1900,,1900,Skj1RTC,RTC,,RTC,18,2009,15-Aug,Presence,W,,,,,,,,,1,,,,1,,,,,,S,1,,,SF,,,,,,,,,,,,,,,,F,,,,1,,1,,,,,,,,,,,,1,,,,1,,,,,,,,,5,0,0,0,5,15,0,,,,,,
Skjellingahaugen,1,1900,,1900,Skj1RTC,RTC,,RTC,19,2009,15-Aug,Presence,W,,,,,,,,,1,,,,,,,,,,S,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,F,,,,1,,,,,,,,,15,0,0,0,5,15,0,,,,,,
Skjellingahaugen,1,1900,,1900,Skj1RTC,RTC,,RTC,20,2009,15-Aug,Presence,W,,,,,,,,,1,,1,,,,,,,,,,,,S,,S,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,30,0,0,0,10,5,0,,,,,,
Skjellingahaugen,1,1900,,1900,Skj1RTC,RTC,,RTC,21,2009,15-Aug,Presence,W,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,1,,,,1,DF,,,1,,,,,,,,,0,0,0,0,2,0,0,,,,,,
Skjellingahaugen,1,1900,,1900,Skj1RTC,RTC,,RTC,22,2009,15-Aug,Presence,W,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,1,1,1,,,D,,,,,,,,,5,0,0,0,5,1,0,,,,6,0.5,
Skjellingahaugen,1,1900,,1900,Skj1RTC,RTC,,RTC,23,2009,15-Aug,Presence,W,,,,,,,,,1,,,,1,,,,,,,1,,,S,,,,,,,,,,,,,S,,F,,,,,,,1,,,,,,,,1,,,1,1,,,,1,,,,,,,,,5,0,0,0,10,5,0,,,,1,,
Skjellingahaugen,1,1900,,1900,Skj1RTC,RTC,,RTC,24,2009,15-Aug,Presence,W,,,,,,,,,,,1,,1,,,,,,,,,,SF,,,,,,,,,,,,,S,,,1,,,,,,,,,,,,,,1,,,,1,,,,1,,,,,,,,,20,0,0,0,5,5,0,,,,5,,
Skjellingahaugen,1,1900,,1900,Skj1RTC,RTC,,RTC,25,2009,15-Aug,Presence,W,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,S,,,,,,,,,,,,1,,,,1,,,,,,,,,50,0,0,0,10,5,0,,,,3,,
Skjellingahaugen,1,1900,,1900,Skj1RTC,RTC,,RTC,%,2009,15-Aug,Cover,W,,2,,1,1,,1,1,2,,1,,4,,,,,,1,2,,,1,,1,,1,,,,,,1,,1,5,,1,1,1,,,1,,7,,,,,,,,3,,5,1,8,10,,1,12,,,1,1,,,1,1,11.04,0,0,0,5.52,7.8,0,75,15,0,3.75,0.5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skjellingahaugen,12,535,TTC,535,535 TTC,,,RTC,1,2009,15-Aug,Presence,W,,,,,S,,,,1,,1,,,,,,,,,,,,S,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,,F,,,,1,,,,,,,,,5,0,0,0,5,0,0,,,,,,
Skjellingahaugen,12,535,TTC,535,535 TTC,,,RTC,2,2009,15-Aug,Presence,W,,,,,,,,,,,,,F,,,,,,,,,,S,,,,,,,,,,,,,D,,,,,,,,,1,,,,,,,,,,F,,1,,,,1,,,,,,,,,3,0,0,0,10,0,0,,,,,,
Skjellingahaugen,12,535,TTC,535,535 TTC,,,RTC,3,2009,15-Aug,Presence,W,,1,,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,1,,,,,,,,,,F,,1,,,,1,,,,,,,,,0,0,0,0,10,0,0,,,,,,
Skjellingahaugen,12,535,TTC,535,535 TTC,,,RTC,4,2009,15-Aug,Presence,W,,,,S,,,,,,,,,,,,,,,,,,,S,,,,S,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,F,,,1,,,1,,,,,,,,,2,0,0,0,5,10,0,,,,,,
Skjellingahaugen,12,535,TTC,535,535 TTC,,,RTC,5,2009,15-Aug,Presence,W,,1,,,,,,,1,,,,1,,,,,,,,,,SF,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,F,,,F,,,,,,10,0,0,0,5,10,0,,,,,,
Skjellingahaugen,12,535,TTC,535,535 TTC,,,RTC,6,2009,15-Aug,Presence,W,,1,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,1,,1,,,,,,,,,,1,,,,,,,,,,1,,1,,,,1,,,1,1,,,,,10,0,0,0,5,0,0,,,,,,
Skjellingahaugen,12,535,TTC,535,535 TTC,,,RTC,7,2009,15-Aug,Presence,W,,1,,,,,,,1,,,,1,,,,,,,1,,,,,,,,,,,,,1,,,1,,,,,,,,,1,,,,,,,,,,F,,,,,,1,,,,,,,,,5,0,0,0,5,0,0,,,,,,
Skjellingahaugen,12,535,TTC,535,535 TTC,,,RTC,8,2009,15-Aug,Presence,W,,,,,,,1,,1,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,,,,,,,,5,0,0,0,5,30,0,,,,,,
Skjellingahaugen,12,535,TTC,535,535 TTC,,,RTC,9,2009,15-Aug,Presence,W,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,,,,,,,,8,0,0,0,1,35,0,,,,,,
Skjellingahaugen,12,535,TTC,535,535 TTC,,,RTC,10,2009,15-Aug,Presence,W,,1,,S,,,,,1,,,,F,,,,,,,,,,SF,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,1,,,,F,,,,,,,,1,5,0,0,0,5,15,0,,,,,,
Skjellingahaugen,12,535,TTC,535,535 TTC,,,RTC,11,2009,15-Aug,Presence,W,,,,,,,,,1,,,,,,,,,,S,,,,S,,,,,,,,,,,,,F,,,F,,,,,,1,,,,,,,,,,,,1,1,,,,,,,1,,,,1,10,0,0,0,2,3,0,,,,,,
Skjellingahaugen,12,535,TTC,535,535 TTC,,,RTC,12,2009,15-Aug,Presence,W,,1,,,,,1,,1,,1,,S,,,,,,,,,,SF,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,1,,,,1,,,,,,,,,15,0,0,0,2,3,0,,,,,,
Skjellingahaugen,12,535,TTC,535,535 TTC,,,RTC,13,2009,15-Aug,Presence,W,,1,,,,,,F,1,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,1,,2,0,0,0,5,30,0,,,,,,
Skjellingahaugen,12,535,TTC,535,535 TTC,,,RTC,14,2009,15-Aug,Presence,W,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,F,,,,,,,,,15,0,0,0,5,1,0,,,,,,
Skjellingahaugen,12,535,TTC,535,535 TTC,,,RTC,15,2009,15-Aug,Presence,W,,,,,S,,,,F,,,,F,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,1,,1,,,1,1,,,,,,,,,15,0,0,0,5,5,0,,,,,,
Skjellingahaugen,12,535,TTC,535,535 TTC,,,RTC,16,2009,15-Aug,Presence,W,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,1,,,,,,,,1,,,,1,DF,,,,,,,,,,,,1,0,0,0,1,0,0,,,,,,
Skjellingahaugen,12,535,TTC,535,535 TTC,,,RTC,17,2009,15-Aug,Presence,W,,1,,,S,,,,1,,,,1,,,,,,,,,,S,,,,F,,,,,,,,,D,,,,,,,1,,1,,,,,,,,,,,,1,,,,1,,,,,,,1,,35,0,0,0,10,2,0,,,,,,
Skjellingahaugen,12,535,TTC,535,535 TTC,,,RTC,18,2009,15-Aug,Presence,W,,,,,,,,,1,,,,1,,,,,,S,1,,,SF,,,,,,,,,,,,,,,,F,,,,1,,1,,,,,,,,,,,,1,,,,1,,,,,,,,,5,0,0,0,5,15,0,,,,,,
Skjellingahaugen,12,535,TTC,535,535 TTC,,,RTC,19,2009,15-Aug,Presence,W,,,,,,,,,1,,,,,,,,,,S,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,F,,,,1,,,,,,,,,15,0,0,0,5,15,0,,,,,,
Skjellingahaugen,12,535,TTC,535,535 TTC,,,RTC,20,2009,15-Aug,Presence,W,,,,,,,,,1,,1,,,,,,,,,,,,S,,S,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,30,0,0,0,10,5,0,,,,,,
