DestinationSite;DestinationBlock;originPlotID;TTtreat;destinationPlotID;turfID;RTtreat ;GRtreat;subPlot;year;date;Measure;recorder;Ach mil;Aco sep;Agr cap;Agr mer;Alc alp;Alc sp;Anem nemo;Ant alp ;Ant dio;Ant odo;Arc alp;Ast alp;Atoc rup;Ave fle;Avenu  pub;Bart alp;Bet nan;Bet pub;Bis viv;Bot lun ;Cal vul;Cam rot;Caps b-p;Car atra;Car big;Car cap;Car ech;Car fla;Car lep;Car nigra;Car nor;Car pal;Car pan;Car pauc;Car pil;Car pulic;Car sax;Car vag;Carex sp;Caru car;Cer alp;Cer cer;Cer fon;Cer gla;Cham alp;Cir pal;Coe vir;Com ten;Dac glo;Dant dec;Des alp;Des ces;Dia del;Dia glo;Dianthus;Dry oct;Emp her;Emp nig;Emp;Epi ana;Epilob sp ;Equi arv;Erigeron;Eri uni;Euph fri;Euph wet;Euph sp;Fes ovi;Fes rub;Fes viv;Filip ulm;Frag ves;Gal bor;Gal sax;Gal uli ;Gal ver;Gen ama;Gen cam;Gen niv;Gen ten;Gent sp;Ger syl;Geu riv;Gras;Gram sp;Gym dry;Halvgras;Hie alp;Hie pil;Hie vulg;Hier sp;Hup sel;Hyp mac;Jun alp;Jun fili;Jun com;Jun tri;Kna arv;Kob sim;Leo aut;Leu vul;Linar vulg;Loi pro;Lotus;Lot cor;Luz mul;Luz pil;Luz sp;Luz spi;Lych vis;Min bif;Mel pra;Nar stri;Oma nor;Oma sup;Oma syl;Oma (ei nerv);Oxa ace;Oxy dig;Par pal;Phle alp;Phle prat;Phyll caer;Picea abies;Pim sax;Pin vul;Pinguicula;Pin alp;Ping sp;Pla lan;Pla maj;Pla med;Poa alp;Poa ann;Poa pra;Poaceae sp;Pot arg ;Pot cra;Pot ere;Pru vul;Pyr min;Pyr nor/rund;Pyr avl;Pyrola sp;Ran acr;Ran aur;Ran rep;Rhin min;Rhinant;Rho ros;Rodhiola;Rub idae;Rum ace;Rum ac-la;Sag pro;Sag sag;Sag sp;Sal her;Sal lan;Sal lap;Sal phyl;Sal ret;Salix sp;Saus alp;Sax aiz ;Sax opp;Sed acr;Sel sel;Sib pro;Sil aca;Sil prat;Sil vul;Sol vir;Sorbus;Ste gra;Ste med;Suc pra;Tarax;Tha alp;Thlaspi  arv;Tof pus;Trien eur;Tri ces;Tri med;Tri mont;Tri pra;Tri rep;Vac myr;Vac uli;Vac vit;Ver alp;Ver cha;Ver fru;Ver off;Ver ser;Vic cra;Vic sep;Vio bif;Vio pal;Vio riv;Vio tri;Vio sp;Vis vul;pleuro;acro;liver;lichen;litter;soil;rock;seedlings;totalVascular;totalBryophytes;totalLichen;vegetationHeight;mossHeight;comment
Skjellingahaugen;1;2090;;2090;Skj1RTG;RTG;;1;2011;19-Aug;Presence;W;;;;;1;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;65;0;0;0;20;10;0;;;;;;;
Skjellingahaugen;1;2090;;2090;Skj1RTG;RTG;;2;2011;19-Aug;Presence;W;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50;0;0;0;40;10;0;;;;;;;
Skjellingahaugen;1;2090;;2090;Skj1RTG;RTG;;3;2011;19-Aug;Presence;W;;;;;;1;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;F;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40;5;0;0;30;20;0;;;;;;;
Skjellingahaugen;1;2090;;2090;Skj1RTG;RTG;;4;2011;19-Aug;Presence;W;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50;0;0;0;30;20;0;;;;;;;
Skjellingahaugen;1;2090;;2090;Skj1RTG;RTG;;5;2011;19-Aug;Presence;W;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50;0;0;0;40;40;0;;;;;;;
Skjellingahaugen;1;2090;;2090;Skj1RTG;RTG;;6;2011;19-Aug;Presence;W;;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40;0;0;0;20;40;0;;;;;;;
Skjellingahaugen;1;2090;;2090;Skj1RTG;RTG;;7;2011;19-Aug;Presence;W;;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;0;0;0;10;70;0;;;;;;;
Skjellingahaugen;1;2090;;2090;Skj1RTG;RTG;;8;2011;19-Aug;Presence;W;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;60;0;0;0;10;30;0;;;;;;;
Skjellingahaugen;1;2090;;2090;Skj1RTG;RTG;;9;2011;19-Aug;Presence;W;;;;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;F;;;;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;60;0;0;0;20;20;0;;;;;;;
Skjellingahaugen;1;2090;;2090;Skj1RTG;RTG;;10;2011;19-Aug;Presence;W;;;;;;;;;;;;;;;;;;;1;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;70;0;0;0;5;5;0;;;;;;;
Skjellingahaugen;1;2090;;2090;Skj1RTG;RTG;;11;2011;19-Aug;Presence;W;;;1;;;;;;;;;;;;;;;;1;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50;0;0;0;10;40;0;;;;;;;
