OriginSite,OriginBlock,originPlotID,TTtreat,destinationPlotID,turfID,RTtreat ,GRtreat,Old label (Treat),subPlot,year,date,Measure,recorder,Ach mil,Agr cap,Alc alp,Alc sp,Ant alp ,Ant dio,Ant odo,Ast alp,Ave fle,Bis viv,Bot lun,Cam rot,Car atr,Car atr,Car big,Car cap,Car nor,Car vag,Cer alp,Cer fon,Des ces,Epi ana,Epi sp ,Eup fri,Fes ovi,Fes rub,Fes viv,Gen niv,Hie pil,Hie sp,Jun tri,L. spi,Leo aut,Luz mul,Luz sp,Luz spi,Nar stri,Oma nor ,Oma sup,Par pal,Phl alp,Phy cae,Poa alp,Poa pra,Pot cra,Pot ere,Pyr min,Pyr sp,Rum ac-la,Ran acr,Rum ace,Sag pro,Sag sag,Sag sp,Sal her,Sal ret,Sau alp,Sel sel,Sib pro,Sil aca,Tar sp,Tha alp,Tof pus,Tri rep,Vac myr,Vac vit,Ver alp,Ver fru,Vio bif,Vio pal,Vio tri,Nid seedling,pleuro,acro,liver,lichen,litter,soil,rock,totalVascular,totalBryophytes,totalLichen,vegetationHeight,mossHeight,comment
Ulvhaugen,1,1,TT2,28,1 TT2 28,,,C,1,2009,11-Aug,Presence,W,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,1,,,,,,,,,,,1,,,,,1,,,,1,,,,,,,1,,,1,,,,2,0,2,2,20,10,0,,,,,,
Ulvhaugen,1,1,TT2,28,1 TT2 28,,,C,2,2009,11-Aug,Presence,W,,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,1,,,,,,,,,,1,,,,0,10,0,1,0,0,0,,,,,,
Ulvhaugen,1,1,TT2,28,1 TT2 28,,,C,3,2009,11-Aug,Presence,W,,1,1,,,,1,1,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,1,,F,,,1,,,,,,,,,,,,1,,1,,,,0,4,0,4,10,10,0,,,,,,
Ulvhaugen,1,1,TT2,28,1 TT2 28,,,C,4,2009,11-Aug,Presence,W,,1,,,,,1,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,0,4,0,3,15,10,0,,,,,,
Ulvhaugen,1,1,TT2,28,1 TT2 28,,,C,5,2009,11-Aug,Presence,W,,,,,,,,,,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,1,,,,0,5,0,0,30,0,0,,,,,,
Ulvhaugen,1,1,TT2,28,1 TT2 28,,,C,6,2009,11-Aug,Presence,W,,1,1,,,1,,,,1,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,0,0,0,5,20,5,0,,,,,,
Ulvhaugen,1,1,TT2,28,1 TT2 28,,,C,7,2009,11-Aug,Presence,W,,1,1,,,1,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,1,,,,0,0,0,0,20,2,0,,,,,,
Ulvhaugen,1,1,TT2,28,1 TT2 28,,,C,8,2009,11-Aug,Presence,W,,1,1,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,1,,,,,,,1,,,,0,0,0,6,20,0,0,,,,,,
Ulvhaugen,1,1,TT2,28,1 TT2 28,,,C,9,2009,11-Aug,Presence,W,,,1,,,,,,,1,,,1,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,1,,,,,,,1,,,,,,,,,,,0,0,0,0,30,0,0,,,,,,
Ulvhaugen,1,1,TT2,28,1 TT2 28,,,C,10,2009,11-Aug,Presence,W,,1,1,,,,1,,,1,,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,1,,,,,,,,,,,1,,,,0,0,0,1,20,5,0,,,,,,
