OriginSite,OriginBlock,originPlotID,TTtreat,destinationPlotID,turfID,RTtreat ,GRtreat,Old treat (label),subPlot,year,date,Measure,recorder,Ach mil,Agr cap,Agr mer ,Alc alp,Alc sp,Ant dio,Ant odo,Ave fle,Bet pub,Car pil,Cal vul,Cam rot,Car cap,Car ech,Car fla,Car nig,Car pal,Car pan,Car pau,Car pul,Car sax,Car vag,Cer fon,Cir pal,Des ces,Eup fri,Eup str,Fes rub,Fes viv,Geu riv,Hie pil,Hyp mac,Jun alp,Kna arv,Leo aut,Leo vul,Lot cor,Luz mul,Luz pil,Nar str,Oma nor,Oma syl,Oxa ace,Pim sax,Pin vul,Pla lan,Poa pra,Pot ere,Pru vul,Rum ac-la,Ran acr,Ran aur,Ran rep,Rhi min,Rum ace,Sag sag,Sag sp,Sal her,Sel sel,Sib pro,Sol vir,Sor auc,Ste gra,Tar sp,Tha alp,Thalict,Tri pra,Tri rep,Vac uli,Ver alp,Ver cha,Ver off,Ver ser,Vio pal,Vio riv,Vio tri,Vio sp,Nid seedling,pleuro,acro,liver,lichen,litter,soil,rock,totalVascular,totalBryophytes,totalLichen,vegetationHeight,mossHeight,comment
Veskre,1,261,TT2,303,261 TT2 303,,,C,1,2009,19-Aug,Presence,W,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,30,0,0,0,20,0,0,,,,,,
Veskre,1,261,TT2,303,261 TT2 303,,,C,2,2009,19-Aug,Presence,W,,,1cf,1,,,1,,,,,,,,1,,,,,,,,,,,,S,1,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,10,0,0,0,20,0,0,,,,,,
Veskre,1,261,TT2,303,261 TT2 303,,,C,3,2009,19-Aug,Presence,W,,,,F,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,,,,,,15,0,0,0,15,0,0,,,,,,
Veskre,1,261,TT2,303,261 TT2 303,,,C,4,2009,19-Aug,Presence,W,,,,1,,,,,,1,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,S,,,,,,,,,,,,,,,,,,,1,,,,F,,,,,,,5,0,0,0,10,10,0,,,,,,
Veskre,1,261,TT2,303,261 TT2 303,,,C,5,2009,19-Aug,Presence,W,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,,,,,,5,0,0,0,15,10,0,,,,,,
Veskre,1,261,TT2,303,261 TT2 303,,,C,6,2009,19-Aug,Presence,W,,1,,1,1,,F,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,0,0,0,20,0,0,,,,,,
Veskre,1,261,TT2,303,261 TT2 303,,,C,7,2009,19-Aug,Presence,W,,1,,F,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,2,0,0,0,20,0,0,,,,,,
Veskre,1,261,TT2,303,261 TT2 303,,,C,8,2009,19-Aug,Presence,W,,1,,1,,,,,,1,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,15,0,0,0,15,0,0,,,,,,
Veskre,1,261,TT2,303,261 TT2 303,,,C,9,2009,19-Aug,Presence,W,,,,D,,,1,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,15,0,0,0,10,0,0,,,,,,
Veskre,1,261,TT2,303,261 TT2 303,,,C,10,2009,19-Aug,Presence,W,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,25,0,0,0,10,0,0,,,,,,
