DestinationSite,DestinationBlock,originPlotID,TTtreat,destinationPlotID,turfID,RTtreat ,GRtreat,subPlot,year,date,Measure,recorder,Ach mil,Aco sep,Agr cap,Agr mer,Alc alp,Alc sp,Ane nem,Ant alp ,Ant dio,Ant odo,Arc alp,Ast alp,Ato rup,Ave fle,Ave pub,Bar alp,Bet nan,Bet pub,Bis viv,Bot lun ,Cal vul,Cam rot,Cap bur,Car atr,Car big,Car cap,Car ech,Car fla,Car lep,Car nig,Car nor,Car pal,Car pan,Car pau,Car pil,Car pul,Car sax,Car vag,Car sp,Car car,Cer alp,Cer cer,Cer fon,Cer gla,Cha alp,Cir pal,Dac glo,Dan dec,Des ces,Dia del,Dia del,Dia glo,Emp her,Epi ana,Epi sp ,Equ arv,Eri uni,Eup sp,Fes ovi,Fes rub,Fes viv,Fil ulm,Fra ves,Gal bor,Gal sax,Gal uli ,Gal ver,Gen ama,Gen niv,Gen ten,Ger syl,Geu riv,Gym dry,Hie pil,Hie vul,Hie sp,Hyp mac,Hypo mac,Jun alp,Jun fil,Jun com,Jun tri,Kna arv,Kob sim,Leo aut,Leu vul,Lin vul,Lot cor,Luz mul,Luz pil,Luz sp,Luz spi,Lyc vis,Mel pra,Nar stri,Noc cae,Oma nor,Oma sup,Oma syl,Oxa ace,Oxy dig,Par pal,Phl alp,Phl pra,Phy cae,Pim sax,Pin vul,Pin alp,Pla lan,Pla maj,Pla med,Poa alp,Poa ann,Poa pra,Pot arg ,Pot cra,Pot ere,Pru vul,Pyr min,Pyr nor,Pyr sp,Ran acr,Ran aur,Ran rep,Rhi min,Rho ros,Rub ida,Rum ace,Rum ac-la,Sag pro,Sag sag,Sag sp,Sal her,Sal lan,Sal phy,Sal ret,Sal sp,Sau alp,Sax aiz ,Sax opp,Sed acr,Sel sel,Sib pro,Sil aca,Sil pra,Sil vul,Sol vir,Sor aur,Ste gra,Ste med,Suc pra,Tar sp,Tha alp,Thl arv,Tof pus,Tri eur,Tri ces,Tri med,Tri mon,Tri pra,Tri rep,Vac myr,Vac uli,Vac vit,Ver alp,Ver cha,Ver fru,Ver off,Ver ser,Vic cra,Vic sep,Vio bif,Vio pal,Vio riv,Vio tri,Vio sp,Vis vul,pleuro,acro,liver,lichen,litter,soil,rock,seedlings,totalVascular,totalBryophytes,totalLichen,vegetationHeight,mossHeight,comment,,,
Vikesland,1,135,TT1,129,135 TT1 129,,,1,2011,27-Jul,Presence,Siri,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,10,0,0,0,5,0,0,,,,,,,,,,
Vikesland,1,135,TT1,129,135 TT1 129,,,2,2011,27-Jul,Presence,Siri,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,5,0,0,0,10,0,0,1,,,,,,,,,
Vikesland,1,135,TT1,129,135 TT1 129,,,3,2011,27-Jul,Presence,Siri,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"J,1",,,,,,,,,,,,,,,,,15,0,0,0,5,0,0,,,,,,,,,,
Vikesland,1,135,TT1,129,135 TT1 129,,,4,2011,27-Jul,Presence,Siri,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,5,0,0,0,10,0,0,,,,,,,,,,
Vikesland,1,135,TT1,129,135 TT1 129,,,5,2011,27-Jul,Presence,Siri,1,,1,,,,,,,1,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,0,0,10,0,0,,,,,,,,,,
Vikesland,1,135,TT1,129,135 TT1 129,,,6,2011,27-Jul,Presence,Siri,1,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,15,0,0,0,10,0,0,,,,,,,,,,
Vikesland,1,135,TT1,129,135 TT1 129,,,7,2011,27-Jul,Presence,Siri,1,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,0,0,0,0,50,0,,,,,,,,,,
Vikesland,1,135,TT1,129,135 TT1 129,,,8,2011,27-Jul,Presence,Siri,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,10,0,0,0,5,0,0,,,,,,,,,,
Vikesland,1,135,TT1,129,135 TT1 129,,,9,2011,27-Jul,Presence,Siri,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,20,0,0,0,10,0,0,,,,,,,,,,
Vikesland,1,135,TT1,129,135 TT1 129,,,10,2011,27-Jul,Presence,Siri,,,,,,,,,,F,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2,0,0,0,10,0,0,,,,,,,,,,
Vikesland,1,135,TT1,129,135 TT1 129,,,11,2011,27-Jul,Presence,Siri,1,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,"F,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,15,0,0,0,5,50,0,1,,,,,,,,,
Vikesland,1,135,TT1,129,135 TT1 129,,,12,2011,27-Jul,Presence,Siri,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,1,,,,,,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,5,0,0,0,1,50,0,1,,,,,,,,,
Vikesland,1,135,TT1,129,135 TT1 129,,,13,2011,27-Jul,Presence,Siri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,15,0,0,0,5,0,0,,,,,,,,,,
Vikesland,1,135,TT1,129,135 TT1 129,,,14,2011,27-Jul,Presence,Siri,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,20,0,0,0,5,0,0,,,,,,,,,,
